Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00-05:00,9.503958520851393,9.558607829994786,9.342496117382288,9.377272605895996,1924800,0.0,0.0
2010-01-05 00:00:00-05:00,9.320141622103296,9.491540471824095,9.310205209705106,9.486572265625,1243600,0.0,0.0
2010-01-06 00:00:00-05:00,9.424471623090538,9.558610355010462,9.404599744799713,9.48160457611084,1562800,0.0,0.0
2010-01-07 00:00:00-05:00,9.41453629445495,9.613259818191487,9.384727055203088,9.58096694946289,1402400,0.0,0.0
2010-01-08 00:00:00-05:00,9.501477378443592,9.54619028897276,9.387211472686163,9.426956176757812,943200,0.0,0.0
2010-01-11 00:00:00-05:00,9.439373970031738,9.476635035790855,9.364852786101773,9.439373970031738,825200,0.0,0.0
2010-01-12 00:00:00-05:00,9.344980938446891,9.49402426942051,9.325109062870094,9.347465515136719,814800,0.0,0.0
2010-01-13 00:00:00-05:00,9.379758436173226,9.603322982788086,9.374791177438198,9.603322982788086,1320000,0.0,0.0
2010-01-14 00:00:00-05:00,9.536203656519659,9.670446582047303,9.474054259329957,9.575979232788086,2217200,0.0075,0.0
2010-01-15 00:00:00-05:00,9.511340863340033,9.523771498215627,9.342295419258662,9.369640350341797,1418400,0.0,0.0
2010-01-19 00:00:00-05:00,9.399471359072159,9.593377096174068,9.374611041287197,9.508853912353516,974800,0.0,0.0
2010-01-20 00:00:00-05:00,9.461621955489658,9.531228957647171,9.439248140749847,9.464107513427734,923600,0.0,0.0
2010-01-21 00:00:00-05:00,9.511340973519868,9.511340973519868,9.076295300914811,9.208052635192871,1995600,0.0,0.0
2010-01-22 00:00:00-05:00,9.203078524192511,9.270199955409185,9.081265345690232,9.116068840026855,1741600,0.0,0.0
2010-01-25 00:00:00-05:00,9.15336052599365,9.213024347505279,8.979342073936028,9.058893203735352,2560800,0.0,0.0
2010-01-26 00:00:00-05:00,9.036521528225613,9.138446496677716,8.92713893594088,8.989288330078125,1057200,0.0,0.0
2010-01-27 00:00:00-05:00,8.95199804802168,9.01414744031052,8.807811951040296,8.907251358032227,1249200,0.0,0.0
2010-01-28 00:00:00-05:00,8.96194196066153,8.964428467354377,8.790409983508393,8.807811737060547,915600,0.0,0.0
2010-01-29 00:00:00-05:00,8.86747484971543,8.912222488095658,8.780466079711914,8.780466079711914,1310400,0.0,0.0
2010-02-01 00:00:00-05:00,8.864988331853235,8.869960396504535,8.676054616725672,8.738204002380371,2235200,0.0,0.0
2010-02-02 00:00:00-05:00,8.738203885974295,8.937081727755103,8.738203885974295,8.899791717529297,2582000,0.0,0.0
2010-02-03 00:00:00-05:00,8.892334948001862,8.899792571432814,8.765549659729004,8.765549659729004,801600,0.0,0.0
2010-02-04 00:00:00-05:00,8.725774061759525,9.096184847034332,8.663624671153475,9.061381340026855,2708000,0.0,0.0
2010-02-05 00:00:00-05:00,9.053922997526266,9.071325699795057,8.899792770451745,8.99177360534668,1864000,0.0,0.0
2010-02-08 00:00:00-05:00,9.014145629051326,9.130986766540675,8.964426883870074,8.99923038482666,919200,0.0,0.0
2010-02-09 00:00:00-05:00,9.02409237820183,9.13596148399732,8.917195338033313,9.111102104187012,1438800,0.0,0.0
2010-02-10 00:00:00-05:00,9.121042987041552,9.210538249109712,9.036519789346546,9.190650939941406,1600000,0.0,0.0
