Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00-05:00,17.058314551257006,17.333011841963344,16.942243730037983,17.317535400390625,1734975,0.066667,0.0
2010-01-05 00:00:00-05:00,17.27110871830892,17.727647997018334,17.2595026317575,17.71217155456543,1419075,0.0,0.0
2010-01-06 00:00:00-05:00,17.665748658378654,17.90949480601201,17.59223844254789,17.839853286743164,888525,0.0,0.0
2010-01-07 00:00:00-05:00,17.746998518291367,17.921101492064775,17.584501634589923,17.83598518371582,1296225,0.0,0.0
2010-01-08 00:00:00-05:00,17.793417029244036,17.878534954111036,17.68895397050872,17.83210563659668,1071900,0.0,0.0
2010-01-11 00:00:00-05:00,17.998488337667297,18.091343732131044,17.793432398162288,17.85920524597168,969525,0.0,0.0
2010-01-12 00:00:00-05:00,17.72764953584928,18.07972576423582,17.72764953584928,17.901752471923828,1168650,0.0,0.0
2010-01-13 00:00:00-05:00,18.00622026733777,18.122289475180658,17.832115625380975,18.056516647338867,1151325,0.0,0.0
2010-01-14 00:00:00-05:00,17.948178566894082,18.09906764025805,17.886274463255845,18.060379028320312,1016325,0.0,0.0
2010-01-15 00:00:00-05:00,18.01782724389125,18.01782724389125,17.79729492827599,17.87467384338379,1131750,0.0,0.0
2010-01-19 00:00:00-05:00,17.855317712360137,18.319594238087177,17.855317712360137,18.153228759765625,1055475,0.0,0.0
2010-01-20 00:00:00-05:00,17.983005303613336,18.087468414345803,17.855328352760854,17.99848175048828,1056150,0.0,0.0
2010-01-21 00:00:00-05:00,18.041029890497533,18.137755558749753,17.53419436246859,17.619312286376953,1629450,0.0,0.0
2010-01-22 00:00:00-05:00,17.561281729093384,17.646399676478566,16.969329774270722,17.116350173950195,1940400,0.0,0.0
2010-01-25 00:00:00-05:00,17.302063250118874,17.669614264997847,17.302063250118874,17.52646255493164,1313550,0.0,0.0
2010-01-26 00:00:00-05:00,17.42974093510777,17.735389537468624,17.302065651249197,17.348491668701172,1118925,0.0,0.0
2010-01-27 00:00:00-05:00,17.348492632938548,17.758604363418556,17.290458862609487,17.716045379638672,1153575,0.0,0.0
2010-01-28 00:00:00-05:00,17.712182484249848,17.7973004796882,17.336892221356795,17.47617530822754,841500,0.0,0.0
2010-01-29 00:00:00-05:00,17.530330589183322,17.805027911291894,17.3484886063574,17.3717041015625,994275,0.0,0.0
2010-02-01 00:00:00-05:00,17.518717870906137,17.839844431925602,17.464552825154595,17.580623626708984,906525,0.0,0.0
2010-02-02 00:00:00-05:00,17.677357028724202,17.882411236779117,17.530334931519075,17.87467384338379,906750,0.0,0.0
2010-02-03 00:00:00-05:00,17.727643005760186,17.83984344608868,17.507110819531096,17.57288360595703,842400,0.0,0.0
2010-02-04 00:00:00-05:00,17.414267023393705,17.91336546296621,17.10474967956543,17.10474967956543,2167425,0.0,0.0
2010-02-05 00:00:00-05:00,17.085399716092883,17.201468894844567,16.508920857844267,17.058317184448242,1950975,0.0,0.0
2010-02-08 00:00:00-05:00,17.30206411254827,17.4993808956142,16.969331344052534,17.038972854614258,2055825,0.0,0.0
2010-02-09 00:00:00-05:00,17.255634885298026,17.42587079687046,16.79909553754954,17.13182830810547,1892700,0.0,0.0
2010-02-10 00:00:00-05:00,17.050579675489217,17.464560060569518,16.91516534462542,17.166648864746094,1346850,0.0,0.0
2010-02-11 00:00:00-05:00,17.209198512992515,17.30979120234332,16.899681396262828,17.232412338256836,2922075,0.0,0.0
2010-02-12 00:00:00-05:00,17.0970029621487,17.170513153076172,16.806830893690126,17.170513153076172,1618200,0.0,0.0
2010-02-16 00:00:00-05:00,17.325274786570944,17.333013838440838,16.90355706369371,17.290454864501953,1752525,0.0,0.0
2010-02-17 00:00:00-05:00,17.398791352030198,17.56902563343437,17.356232366582933,17.565156936645508,1326825,0.0,0.0
2010-02-18 00:00:00-05:00,17.526461289986244,17.936572911158763,17.468427535124984,17.843717575073242,1393200,0.0,0.0
2010-02-19 00:00:00-05:00,17.789550948419873,18.13002103753018,17.743121624083518,18.002344131469727,1295775,0.0,0.0
2010-02-22 00:00:00-05:00,18.002348334635936,18.18031998108218,17.878541755318814,18.133893966674805,1279350,0.0,0.0
2010-02-23 00:00:00-05:00,18.00621747446607,18.00621747446607,17.44908370285005,17.460691452026367,2943225,0.0,0.0
2010-02-24 00:00:00-05:00,17.468425753598936,17.805025482388476,17.449078956772436,17.735383987426758,1429200,0.0,0.0
2010-02-25 00:00:00-05:00,17.514854243844766,17.967523152275934,17.387177333528097,17.917226791381836,1686825,0.0,0.0
2010-02-26 00:00:00-05:00,17.99074363708496,18.0526461013372,17.754734888324762,17.99074363708496,1343700,0.0,0.0
2010-03-01 00:00:00-05:00,18.09907388017401,18.246094309070028,18.056514898023913,18.203536987304688,882900,0.0,0.0
2010-03-02 00:00:00-05:00,18.315724635963132,18.319591669354164,18.095192486973406,18.265426635742188,1115325,0.0,0.0
2010-03-03 00:00:00-05:00,18.346679007899535,18.85351450814876,18.265429783097744,18.752920150756836,2732175,0.0,0.0
2010-03-04 00:00:00-05:00,18.83417880435076,19.012152120816584,18.71810961108712,18.9425106048584,1927350,0.0,0.0
2010-03-05 00:00:00-05:00,19.08179017286157,19.379701324889293,18.985066139430945,19.34101104736328,1683675,0.0,0.0
2010-03-08 00:00:00-05:00,19.197854822299888,19.619574098905726,19.166903603801412,19.561538696289062,1528875,0.0,0.0
2010-03-09 00:00:00-05:00,19.418397397663874,19.611845522258,19.39518355629718,19.515121459960938,1618200,0.0,0.0
2010-03-10 00:00:00-05:00,19.515119744981366,19.81303095973776,19.426133084165002,19.700830459594727,1773225,0.0,0.0
2010-03-11 00:00:00-05:00,19.63119061554392,19.836246490478516,19.588631629751944,19.836246490478516,1247400,0.0,0.0
2010-03-12 00:00:00-05:00,19.871057504828432,19.971650210145466,19.669870433810345,19.78980827331543,956250,0.0,0.0
2010-03-15 00:00:00-04:00,19.739519324993783,19.98326545057848,19.712435130740765,19.925230026245117,1666125,0.0,0.0
2010-03-16 00:00:00-04:00,19.952313367528347,20.35468601639426,19.905885690336714,20.346948623657227,1678950,0.0,0.0
2010-03-17 00:00:00-04:00,20.377905248860362,21.054975388555224,20.377905248860362,20.788015365600586,2313450,0.0,0.0
2010-03-18 00:00:00-04:00,20.733849442716608,20.8576560460817,20.602305445511494,20.7686710357666,990675,0.0,0.0
2010-03-19 00:00:00-04:00,20.575223922729492,20.965990589025697,20.563617830459734,20.575223922729492,1600875,0.0,0.0
2010-03-22 00:00:00-04:00,20.563608169555664,20.745450146099373,20.319862082167354,20.563608169555664,1238625,0.0,0.0
2010-03-23 00:00:00-04:00,20.53652882338901,20.64872932434082,20.312127821485387,20.64872932434082,1369350,0.0,0.0
2010-03-24 00:00:00-04:00,20.579085099231957,20.617775380094884,20.40111346010851,20.46688461303711,1664550,0.0,0.0
2010-03-25 00:00:00-04:00,20.660333207029066,20.745451156036086,20.36242204588896,20.408849716186523,1481175,0.0,0.0
2010-03-26 00:00:00-04:00,20.4281958845445,20.74158350503115,20.292781562624814,20.3740291595459,1543050,0.0,0.0
2010-03-29 00:00:00-04:00,20.501704274223624,20.629381192860674,20.28117201853577,20.548131942749023,1132650,0.0,0.0
2010-03-30 00:00:00-04:00,20.544259244088252,20.6994570802928,20.443381566353573,20.486061096191406,852750,0.066667,0.0
2010-03-31 00:00:00-04:00,20.40845108308614,20.773165065479656,20.342491994239765,20.761526107788086,2390850,0.0,0.0
2010-04-01 00:00:00-04:00,20.87404785058832,21.083564109878967,20.85852757264883,21.002084732055664,1270575,0.0,0.0
2010-04-05 00:00:00-04:00,21.060272072145676,21.219351093089806,20.994314671136244,21.199951171875,850725,0.0,0.0
2010-04-06 00:00:00-04:00,21.114604981328192,21.28920271299216,21.060284835988075,21.227123260498047,1664325,0.0,0.0
2010-04-07 00:00:00-04:00,21.19607982048839,21.215478084212695,20.7731660346453,20.928363800048828,1370700,0.0,0.0
2010-04-08 00:00:00-04:00,20.843016852318627,20.889574373592374,20.610219255422823,20.8779354095459,1599300,0.0,0.0
2010-04-09 00:00:00-04:00,20.889568145493417,20.920607038784468,20.7188517347616,20.905088424682617,837225,0.0,0.0
2010-04-12 00:00:00-04:00,20.982686688800438,21.110723571627375,20.932246201233284,21.099082946777344,1229850,0.0,0.0
2010-04-13 00:00:00-04:00,21.01372743338361,21.254282607237972,20.84688900803676,21.223243713378906,921825,0.0,0.0
2010-04-14 00:00:00-04:00,21.316359040663183,21.747032165527344,21.269799873925823,21.747032165527344,1488150,0.0,0.0
2010-04-15 00:00:00-04:00,21.74315243490883,21.74315243490883,21.374557090284732,21.626752853393555,1127250,0.0,0.0
2010-04-16 00:00:00-04:00,21.55691452807905,21.66167348747107,20.986565558892284,21.145641326904297,1836000,0.0,0.0
